Time,NID,NAE,CNA,PA,QLO,VP,VTS,VB,TVD,NOD,HR,QAO,VEC,VTW
26.591,0.1,2129.5,142.05,100.74,5.0777,3.0103,11.969,5.0103,0.00028696,0.12206,70.99,5.0777,14.992,39.991
32.672,0.1,2129.4,142.06,100.75,5.0771,3.0109,11.965,5.0109,0.00033545,0.12281,70.985,5.0771,14.989,39.985
40.364,0.1,2129.1,142.08,100.73,5.0765,3.0111,11.962,5.0111,0.00039626,0.12272,71.019,5.0765,14.985,39.979
48.057,0.1,2128.9,142.1,100.69,5.0758,3.0109,11.959,5.0108,0.00045477,0.12171,71.088,5.0758,14.982,39.973
58.144,0.1,2128.7,142.11,100.61,5.075,3.0099,11.956,5.0099,0.00052824,0.11936,71.217,5.075,14.979,39.966
68.23,0.1,2128.5,142.13,100.52,5.0742,3.0086,11.955,5.0086,0.00059787,0.11625,71.375,5.0742,14.976,39.96
78.317,0.1,2128.3,142.14,100.41,5.0735,3.007,11.954,5.007,0.0006628,0.11274,71.549,5.0736,14.974,39.955
90.709,0.1,2128.1,142.15,100.28,5.0728,3.0049,11.954,5.0048,0.00073474,0.10827,71.765,5.0729,14.971,39.95
102.5,0.1,2128,142.15,100.16,5.0723,3.0029,11.955,5.0029,0.00079423,0.10417,71.963,5.0724,14.97,39.946
102.5,0.1,2128,142.15,100.16,5.0723,3.0029,11.955,5.0029,0.00079423,0.10417,71.963,5.0724,14.97,39.946
102.5,0.1,2128,142.15,100.16,5.0723,3.0029,11.955,5.0029,0.00079423,0.10417,71.963,5.0724,14.97,39.946
102.5,0.1,2128,142.15,100.16,5.0723,3.0029,11.955,5.0029,0.00079423,0.10417,71.963,5.0724,14.97,39.946
102.5,0.1,2128,142.15,100.16,5.0723,3.0029,11.955,5.0029,0.00079423,0.10417,71.963,5.0724,14.97,39.946
102.5,0.1,2128,142.15,100.16,5.0723,3.0029,11.955,5.0029,0.00079423,0.10417,71.963,5.0724,14.97,39.946
102.5,0.1,2128,142.15,100.16,5.0723,3.0029,11.955,5.0029,0.00079423,0.10417,71.963,5.0724,14.97,39.946
102.5,0.1,2128,142.15,100.16,5.0723,3.0029,11.955,5.0029,0.00079423,0.10417,71.963,5.0724,14.97,39.946
102.5,0.1,2128,142.15,100.16,5.0723,3.0029,11.955,5.0029,0.00079423,0.10417,71.963,5.0724,14.97,39.946
102.5,0.1,2128,142.15,100.16,5.0723,3.0029,11.955,5.0029,0.00079423,0.10417,71.963,5.0724,14.97,39.946
102.5,0.1,2128,142.15,100.16,5.0723,3.0029,11.955,5.0029,0.00079423,0.10417,71.963,5.0724,14.97,39.946
102.5,0.1,2128,142.15,100.16,5.0723,3.0029,11.955,5.0029,0.00079423,0.10417,71.963,5.0724,14.97,39.946
102.5,0.1,2128,142.15,100.16,5.0723,3.0029,11.955,5.0029,0.00079423,0.10417,71.963,5.0724,14.97,39.946
102.5,0.1,2128,142.15,100.16,5.0723,3.0029,11.955,5.0029,0.00079423,0.10417,71.963,5.0724,14.97,39.946
102.5,0.1,2128,142.15,100.16,5.0723,3.0029,11.955,5.0029,0.00079423,0.10417,71.963,5.0724,14.97,39.946
